range,percent
Less than a year,6.0
1 to 2 years,11.3
2 to 3 years,10.8
3 to 4 years,9.5
4 to 5 years,8.1
5 to 6 years,7.5
6 to 7 years,4.8
7 to 8 years,4.4
8 to 9 years,3.4
9 to 10 years,5.0
10 to 11 years,4.3
11 to 12 years,2.3
12 to 13 years,2.0
13 to 14 years,1.5
14 to 15 years,2.2
15 to 16 years,2.4
16 to 17 years,2.0
17 to 18 years,1.6
18 to 19 years,1.1
19 to 20 years,1.2
20 or more years,8.7
