full_name,e,q,i,om,w,ad,tp_cal,per_y,class,data_arc,condition_code,n_obs_used,two_body,A1,A2,A3,DT,M1,K1,M2,K2,PC,diameter,extent,albedo,rot_per,GM
"   30P/Reinmuth 1",.5005644964668415,1.884123751541809,8.122642457307665,119.7558520061328,13.25160377330342,5.660889521295005,20100419.8400608,7.32745602801942,JFc,5635,0,2613,,5.576413626063325E-9,-2.144941264578509E-10,,,12.6,9.,,,,7.8,,,,
"   31P/Schwassmann-Wachmann 2",.1939049560064233,3.423066551986726,4.546633992033895,114.1548122753023,18.01931880463022,5.069893620620419,20100930.1935855,8.75088224768839,JFc,9461,0,935,,1.829839428080619E-8,-2.863799405272808E-9,,,6.2,19.,13.9,5.,0.03,6.2,,,,
"   32P/Comas Sola",.5546485799036236,2.008565194966582,9.968516517217138,57.84360276824752,53.30658848884395,7.011570833933551,20141019.7008873,9.57817657976511,JFc,4341,0,3117,,-8.192712790761601E-9,7.535444540844812E-10,-1.059058070811059E-9,-187.2547654147808,11.0,9.,13.4,5.,0.03,8.4,,,,
"   33P/Daniel",.4622942356006235,2.167095469059373,22.38451694699383,66.54240893114761,18.90976186840921,5.893429868548057,20080720.3659416,8.09111231907703,JFc,6320,1,388,,3.311302129243758E-9,4.696359816348227E-10,,,11.8,13.,,,,2.6,,,,
"   34D/Gale",0.760719,1.182907,11.7281,67.9235,209.1572,8.7042717,19380618.4832000,11,JFc,,,47,F,,,,,10.5,20.0,,,,,,,,
"   35P/Herschel-Rigollet",0.97405,0.74849,64.207,355.980,29.298,56.9386006,19390809.4640000,155,HTC,,,75,F,,,,,8.3,10,,,,,,,,
"   36P/Whipple",.2617095134990785,3.072395875089189,9.92733274756349,181.9868527345878,200.6202022211424,5.250604166941976,20111223.4549720,8.48951840115475,JFc,21464,0,504,,4.875085859075744E-9,-4.826562602290264E-10,,,7.5,17.0,,,,4.56,,,,
"   37P/Forbes",.5405801452774754,1.578223084595576,8.95531074820294,314.9280231741077,329.6436674604699,5.292281393487001,20111211.1421196,6.36716565809481,JFc,7203,1,776,,4.809566420527582E-9,2.533200983063803E-10,7.030582210894037E-10,-40.71518104792003,9.0,20.0,,,,1.92,,,,
"   38P/Stephan-Oterma",0.860022494401565,1.57442074805817,17.981415367796,79.18837876601667,358.1910370660319,20.92091864704202,19801205.1761271,37.7226360578495,HTC,41705,,280,,1.272538325643691E-9,-3.150601360130752E-11,,,8.,15,13.,10,,,,,,
"   39P/Oterma",0.245513956937926,5.47114747991526,1.94283105545965,331.5811183554936,56.27834376123234,9.031831150970113,20021221.0203477,19.5276066944962,CTc,21764,0,237,,,,,,5.,15.0,10.,10.0,,,,,,
