program	nra	nra	unk_m	unk_f	his_m	his_f	ind_m	ind_f	asi_m	asi_f	blk_m	blk_f	pac_m	pac_f	wht_m	wht_f	two_m	two_f	tot_m	tot_f
Civil Engineering (B.S.)	3	0	2	1	2	0	0	0	3	0	0	0	2	1	29	6	1	0	50
Computer Engineering (B.S.)	5	1	2	0	0	0	0	0	2	0	2	0	0	0	4	1	0	0	17
Computer Science (B.S.)	13	2	0	0	1	0	0	0	5	1	1	0	0	0	33	3	0	0	59
Electrical Engineering (B.S.)	21	3	1	0	2	0	0	0	8	0	5	0	0	0	18	0	1	0	59
Environmental Engineering (B.S.)	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	4
Mechanical Engineering (B.S.)	15	0	4	0	3	0	0	0	7	1	1	0	0	0	27	4	1	0	63
