program	his_m	his_f	ind_m	ind_f	asi_m	asi_f	blk_m	blk_f	pac_m	pac_f	wht_m	wht_f	tot_m	tot_f
Civil Engineering (B.S.)	2	1	2	0	17	10	2	2	39
Computer Engineering (B.S.)	2	0	3	2	11	2	2	0	26
Computer Science (B.S.)	4	3	3	2	32	2	3	1	53
Electrical Engineering (B.S.)	7	0	11	3	25	2	5	1	58
Mechanical Engineering (B.S.)	2	0	4	0	23	2	2	0	34
