program	nra	nra	unk_m	unk_f	his_m	his_f	ind_m	ind_f	asi_m	asi_f	blk_m	blk_f	pac_m	pac_f	wht_m	wht_f	two_m	two_f	tot_m	tot_f
Civil Engineering (B.S.)	1	0	1	0	1	0	1	0	0	0	28	6	2	1	41
Computer Engineering (B.S.)	3	0	0	0	0	0	1	0	0	0	6	0	0	0	10
Computer Science (B.S.)	4	0	2	0	0	0	2	4	0	0	33	0	2	0	47
Electrical Engineering (B.S.)	4	0	1	0	0	0	5	1	1	0	25	4	6	1	48
Environmental Engineering (B.S.)	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2
Mechanical Engineering (B.S.)	0	0	0	0	0	0	3	0	0	0	26	4	3	1	37
