developer_role,percent
Web developer,73.6
Mobile developer,27.8
Desktop applications developer,22.4
Developer with a statistics or mathematics background,11.7
Database administrator,11.3
DevOps specialist,8.5
Data scientist,7.4
Embedded applications/devices developer,7.2
Systems administrator,7.0
Other,6.6
Graphic designer,3.8
Machine learning specialist,3.8
Quality assurance engineer,3.1
Graphics programming,2.8
