developer_role,percent
Web developer,72.4
Desktop applications developer,30.8
Mobile developer,20.1
Database administrator,14.5
DevOps specialist,12.4
Systems administrator,12.4
Developer with a statistics or mathematics background,11.5
Embedded applications/devices developer,9.7
Other,8.7
Data scientist,7.8
Graphics programming,4.9
Quality assurance engineer,3.5
Machine learning specialist,3.5
Graphic designer,3.3
