developer_role,percent
Web developer,74.2
Mobile developer,27.7
Desktop applications developer,25.0
Database administrator,12.9
Developer with a statistics or mathematics background,11.4
DevOps specialist,10.9
Systems administrator,10.4
Data scientist,8.8
Embedded applications/devices developer,7.7
Other,5.4
Machine learning specialist,4.8
Graphics programming,4.5
Graphic designer,3.9
Quality assurance engineer,3.8
