range,percent
Less than a year,2.9
1 to 2 years,5.4
2 to 3 years,6.4
3 to 4 years,7.2
4 to 5 years,7.6
5 to 6 years,7.0
6 to 7 years,5.6
7 to 8 years,4.8
8 to 9 years,3.7
9 to 10 years,6.3
10 to 11 years,4.3
11 to 12 years,2.7
12 to 13 years,2.6
13 to 14 years,2.1
14 to 15 years,3.9
15 to 16 years,3.3
16 to 17 years,2.0
17 to 18 years,1.7
18 to 19 years,1.3
19 to 20 years,2.0
20 or more years,17.2
