type,percent
Web developer,72.6
Desktop applications developer,28.9
Mobile developer,23.0
Database administrator,14.4
Developer with a statistics or mathematics background,11.3
Systems administrator,11.3
DevOps specialist,11.1
Embedded applications/devices developer,.3
Data scientist,8.4
Other,7.5
Graphics programming,4.8
Graphic designer,3.9
Machine learning specialist,3.8
Quality assurance engineer,3.5
