range,percent
Less than a year,7.4
1 to 2 years,12.9
2 to 3 years,11.7
3 to 4 years,9.8
4 to 5 years,8.3
5 to 6 years,7.3
6 to 7 years,4.7
7 to 8 years,4.0
8 to 9 years,3.1
9 to 10 years,4.8
10 to 11 years,4.1
11 to 12 years,2.0
12 to 13 years,1.8
13 to 14 years,1.3
14 to 15 years,2.1
15 to 16 years,2.1
16 to 17 years,1.7
17 to 18 years,1.3
18 to 19 years,1.0
19 to 20 years,1.0
20 or more years,7.5
